#,CPU,Memory,Time
1,96%,194692,0:02.02
2,81%,191712,0:03.15
3,79%,189040,0:03.42
4,68%,194252,0:03.32
5,70%,191484,0:03.35
6,74%,196556,0:03.50
7,64%,189112,0:03.63
8,75%,182312,0:03.10
9,64%,193860,0:03.62
10,68%,183576,0:03.12
