#,CPU,Memory,Time
1,44%,56392,0:40.69
2,46%,56364,0:38.01
3,44%,56280,0:39.95
4,46%,56420,0:38.95
5,45%,56368,0:39.82
6,67%,56496,0:25.31
7,46%,56464,0:38.25
8,48%,56484,0:36.44
9,45%,56468,0:38.83
10,41%,56456,0:43.34
