#,CPU,Memory,Time
1,29%,24500,0:00.48
2,25%,24456,0:00.76
3,20%,24664,0:00.63
4,21%,24676,0:00.70
5,9%,24812,0:01.46
6,10%,24732,0:01.32
7,7%,25088,0:03.98
8,18%,26112,0:01.08
9,20%,24664,0:00.85
10,15%,24180,0:01.03
