CMDLINE ansible-playbook --extra-vars MSG=1659041163 nvidia.nvue.api
MEM 1.082031 1659041164.1272
MEM 17.082031 1659041164.2293
MEM 23.476562 1659041164.3311
MEM 29.757812 1659041164.4336
MEM 40.437500 1659041164.5358
MEM 41.902344 1659041164.6378
MEM 43.207031 1659041164.7399
MEM 80.082031 1659041164.8422
MEM 84.902344 1659041164.9452
MEM 101.667969 1659041165.0477
MEM 110.746094 1659041165.1500
MEM 114.488281 1659041165.2525
MEM 122.339844 1659041165.3556
MEM 130.566406 1659041165.4589
MEM 131.582031 1659041165.5612
MEM 131.703125 1659041165.6646
MEM 90.230469 1659041165.7675
MEM 93.218750 1659041165.8705
MEM 93.203125 1659041165.9727
MEM 109.816406 1659041166.0765
MEM 112.800781 1659041166.1791
MEM 115.808594 1659041166.2816
MEM 115.808594 1659041166.3843
MEM 115.808594 1659041166.4879
MEM 115.808594 1659041166.5905
MEM 115.808594 1659041166.6931
MEM 115.808594 1659041166.7960
MEM 94.324219 1659041166.8986
MEM 45.011719 1659041167.0007
CMDLINE ansible-playbook --extra-vars MSG=1659041163 nvidia.nvue.api
MEM 1.113281 1659041167.2498
MEM 17.933594 1659041167.3517
MEM 23.304688 1659041167.4543
MEM 29.679688 1659041167.5565
MEM 38.417969 1659041167.6585
MEM 41.097656 1659041167.7606
MEM 43.027344 1659041167.8639
MEM 43.839844 1659041167.9713
MEM 82.855469 1659041168.0744
MEM 98.527344 1659041168.1775
MEM 108.003906 1659041168.2799
MEM 112.972656 1659041168.3825
MEM 119.128906 1659041168.4855
MEM 127.871094 1659041168.5892
MEM 130.546875 1659041168.6918
MEM 131.574219 1659041168.7944
MEM 127.324219 1659041168.8969
MEM 93.187500 1659041168.9992
MEM 93.164062 1659041169.1015
MEM 109.789062 1659041169.2042
MEM 111.750000 1659041169.3076
MEM 115.843750 1659041169.4107
MEM 115.843750 1659041169.5132
MEM 115.843750 1659041169.6166
MEM 115.843750 1659041169.7201
MEM 115.843750 1659041169.8226
MEM 115.843750 1659041169.9271
MEM 115.843750 1659041170.0299
MEM 115.843750 1659041170.1328
MEM 115.843750 1659041170.2355
MEM 115.843750 1659041170.3380
MEM 115.843750 1659041170.4405
MEM 115.843750 1659041170.5438
MEM 44.472656 1659041170.6462
MEM 44.992188 1659041170.7485
CMDLINE ansible-playbook --extra-vars MSG=1659041163 nvidia.nvue.api
MEM 1.132812 1659041171.0594
MEM 14.269531 1659041171.1624
MEM 22.171875 1659041171.2653
MEM 25.558594 1659041171.3677
MEM 34.281250 1659041171.4698
MEM 41.019531 1659041171.5718
MEM 42.640625 1659041171.6741
MEM 43.585938 1659041171.7761
MEM 81.847656 1659041171.8798
MEM 84.898438 1659041171.9823
MEM 103.128906 1659041172.0851
MEM 111.691406 1659041172.1882
MEM 114.179688 1659041172.2906
MEM 122.750000 1659041172.3934
MEM 130.238281 1659041172.4959
MEM 131.375000 1659041172.5983
MEM 131.375000 1659041172.7010
MEM 91.367188 1659041172.8050
MEM 92.179688 1659041172.9082
MEM 94.500000 1659041173.0107
MEM 108.910156 1659041173.1134
MEM 113.210938 1659041173.2167
MEM 115.378906 1659041173.3192
MEM 115.378906 1659041173.4220
MEM 115.378906 1659041173.5244
MEM 115.378906 1659041173.6272
MEM 115.378906 1659041173.7296
MEM 115.378906 1659041173.8325
MEM 115.378906 1659041173.9363
MEM 44.382812 1659041174.0406
CMDLINE ansible-playbook --extra-vars MSG=1659041163 nvidia.nvue.api
MEM 1.089844 1659041174.3077
MEM 16.886719 1659041174.4099
MEM 22.539062 1659041174.5122
MEM 28.605469 1659041174.6151
MEM 37.402344 1659041174.7173
MEM 41.824219 1659041174.8195
MEM 43.160156 1659041174.9221
MEM 43.972656 1659041175.0272
MEM 82.503906 1659041175.1306
MEM 97.109375 1659041175.2330
MEM 107.867188 1659041175.3361
MEM 113.031250 1659041175.4384
MEM 118.964844 1659041175.5407
MEM 128.464844 1659041175.6432
MEM 131.558594 1659041175.7454
MEM 131.757812 1659041175.8484
MEM 127.507812 1659041175.9516
MEM 93.308594 1659041176.0553
MEM 93.058594 1659041176.1590
MEM 110.726562 1659041176.2617
MEM 111.042969 1659041176.3646
MEM 115.667969 1659041176.4677
MEM 116.070312 1659041176.5703
MEM 116.070312 1659041176.6742
MEM 116.070312 1659041176.7767
MEM 116.070312 1659041176.8793
MEM 116.070312 1659041176.9821
MEM 116.070312 1659041177.0852
MEM 116.070312 1659041177.1885
MEM 44.625000 1659041177.2937
CMDLINE ansible-playbook --extra-vars MSG=1659041163 nvidia.nvue.api
MEM 1.085938 1659041177.5456
MEM 17.144531 1659041177.6477
MEM 23.281250 1659041177.7498
MEM 29.863281 1659041177.8523
MEM 39.648438 1659041177.9555
MEM 42.003906 1659041178.0575
MEM 43.332031 1659041178.1598
MEM 44.253906 1659041178.2622
MEM 83.312500 1659041178.3655
MEM 99.015625 1659041178.4693
MEM 108.437500 1659041178.5719
MEM 113.140625 1659041178.6744
MEM 119.042969 1659041178.7770
MEM 121.480469 1659041178.8873
MEM 124.031250 1659041178.9950
MEM 129.714844 1659041179.0988
MEM 130.746094 1659041179.2037
MEM 131.683594 1659041179.3081
MEM 131.820312 1659041179.4121
MEM 131.820312 1659041179.5154
MEM 91.507812 1659041179.6194
MEM 93.351562 1659041179.7232
MEM 93.105469 1659041179.8279
MEM 102.011719 1659041179.9363
MEM 111.183594 1659041180.0412
MEM 110.640625 1659041180.1467
MEM 113.988281 1659041180.2503
MEM 115.945312 1659041180.3535
MEM 115.945312 1659041180.4580
